CODGEO;LIBGEO;DEP
01001;L'Abergement-Clémenciat;01
01002;L'Abergement-de-Varey;01
01004;Ambérieu-en-Bugey;01
01005;Ambérieux-en-Dombes;01
01006;Ambléon;01
01007;Ambronay;01
01008;Ambutrix;01
01009;Andert-et-Condon;01
01010;Anglefort;01
01011;Apremont;01
01012;Aranc;01
01013;Arandas;01
01014;Arbent;01
01015;Arboys en Bugey;01
01016;Arbigny;01
01017;Argis;01
01019;Armix;01
01021;Ars-sur-Formans;01
01022;Artemare;01
01023;Asnières-sur-Saône;01
01024;Attignat;01
01025;Bâgé-la-Ville;01
01026;Bâgé-le-Châtel;01
01027;Balan;01
01028;Baneins;01
01029;Beaupont;01
01030;Beauregard;01
01031;Bellignat;01
01032;Béligneux;01
01033;Bellegarde-sur-Valserine;01
01034;Belley;01
01035;Belleydoux;01
01036;Belmont-Luthézieu;01
01037;Bénonces;01
01038;Bény;01
01039;Béon;01
01040;Béréziat;01
01041;Bettant;01
01042;Bey;01
01043;Beynost;01
01044;Billiat;01
01045;Birieux;01
01046;Biziat;01
01047;Blyes;01
01049;La Boisse;01
01050;Boissey;01
01051;Bolozon;01
01052;Bouligneux;01
01053;Bourg-en-Bresse;01
01054;Bourg-Saint-Christophe;01
01056;Boyeux-Saint-Jérôme;01
01057;Boz;01
01058;Brégnier-Cordon;01
01059;Brénaz;01
01060;Brénod;01
01061;Brens;01
01062;Bressolles;01
01063;Brion;01
01064;Briord;01
01065;Buellas;01
01066;La Burbanche;01
01067;Ceignes;01
01068;Cerdon;01
01069;Certines;01
01071;Cessy;01
01072;Ceyzériat;01
01073;Ceyzérieu;01
01074;Chalamont;01
01075;Chaleins;01
01076;Chaley;01
01077;Challes-la-Montagne;01
01078;Challex;01
01079;Champagne-en-Valromey;01
01080;Champdor-Corcelles;01
01081;Champfromier;01
01082;Chanay;01
01083;Chaneins;01
01084;Chanoz-Châtenay;01
01085;La Chapelle-du-Châtelard;01
01087;Charix;01
01088;Charnoz-sur-Ain;01
01089;Château-Gaillard;01
01090;Châtenay;01
01091;Châtillon-en-Michaille;01
01092;Châtillon-la-Palud;01
01093;Châtillon-sur-Chalaronne;01
01094;Chavannes-sur-Reyssouze;01
01095;Chavannes-sur-Suran;01
01096;Chaveyriat;01
01097;Chavornay;01
01098;Chazey-Bons;01
01099;Chazey-sur-Ain;01
01100;Cheignieu-la-Balme;01
01101;Chevillard;01
01102;Chevroux;01
01103;Chevry;01
01104;Chézery-Forens;01
01105;Civrieux;01
01106;Cize;01
01107;Cleyzieu;01
01108;Coligny;01
01109;Collonges;01
01110;Colomieu;01
01111;Conand;01
01112;Condamine;01
01113;Condeissiat;01
01114;Confort;01
01115;Confrançon;01
01116;Contrevoz;01
01117;Conzieu;01
01118;Corbonod;01
01121;Corlier;01
01122;Cormaranche-en-Bugey;01
01123;Cormoranche-sur-Saône;01
